Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,PPO,666,45000,500.0,0.0,100.0,25.082878589630127,500.0
CartPole-v1,PPO,666,50000,500.0,0.0,100.0,27.893035888671875,500.0
CartPole-v1,PPO,666,55000,500.0,0.0,100.0,30.676044464111328,500.0
CartPole-v1,PPO,666,60000,500.0,0.0,100.0,33.44049644470215,500.0
CartPole-v1,PPO,666,65000,500.0,0.0,100.0,36.212246894836426,500.0
CartPole-v1,PPO,666,70000,500.0,0.0,100.0,38.96818256378174,500.0
CartPole-v1,PPO,666,75000,500.0,0.0,100.0,41.75917983055115,500.0
CartPole-v1,PPO,666,80000,500.0,0.0,100.0,44.54777693748474,500.0
CartPole-v1,PPO,666,85000,500.0,0.0,100.0,47.30291962623596,500.0
CartPole-v1,PPO,666,90000,500.0,0.0,100.0,50.12542724609375,500.0
CartPole-v1,PPO,666,95000,500.0,0.0,100.0,52.86940550804138,500.0
CartPole-v1,PPO,666,100000,500.0,0.0,100.0,55.61030840873718,500.0
CartPole-v1,ARS,7,5000,62.6,29.930586362448697,0.0,0.9521133899688721,62.6
CartPole-v1,ARS,7,10000,43.2,5.192301994298868,0.0,1.86086106300354,43.2
CartPole-v1,ARS,7,15000,46.8,4.707440918375928,0.0,2.770268201828003,46.8
CartPole-v1,ARS,7,20000,67.6,8.616263691415208,0.0,3.6625328063964844,67.6
CartPole-v1,ARS,7,25000,320.4,105.60984802564579,0.0,4.529864072799683,320.4
CartPole-v1,ARS,7,30000,381.0,146.03287301152434,60.0,5.46112585067749,381.0
CartPole-v1,ARS,7,35000,500.0,0.0,100.0,6.308836936950684,500.0
CartPole-v1,ARS,7,40000,500.0,0.0,100.0,7.3164403438568115,500.0
CartPole-v1,ARS,7,45000,352.6,9.221713506718803,0.0,8.245486974716187,352.6
CartPole-v1,ARS,7,50000,500.0,0.0,100.0,9.076654195785522,500.0
CartPole-v1,ARS,7,55000,500.0,0.0,100.0,10.135682344436646,500.0
CartPole-v1,ARS,7,60000,500.0,0.0,100.0,11.097684621810913,500.0
CartPole-v1,ARS,7,65000,500.0,0.0,100.0,12.061426401138306,500.0
CartPole-v1,ARS,7,70000,500.0,0.0,100.0,13.121936321258545,500.0
CartPole-v1,ARS,7,75000,500.0,0.0,100.0,14.15558910369873,500.0
CartPole-v1,ARS,7,80000,500.0,0.0,100.0,15.286636352539062,500.0
CartPole-v1,ARS,7,85000,500.0,0.0,100.0,15.988739728927612,500.0
CartPole-v1,ARS,7,90000,500.0,0.0,100.0,16.878009557724,500.0
