Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,REINFORCE,666,9,8.6,0.48989794855663565,0.0,0.030049562454223633,8.6
CartPole-v1,REINFORCE,666,10,9.6,0.4898979485566356,0.0,0.03404879570007324,9.6
Acrobot-v1,A2C,7,1,-500.0,0.0,0.0,0.004000425338745117,500.0
Acrobot-v1,A2C,7,2,-500.0,0.0,0.0,0.007508993148803711,500.0
Acrobot-v1,A2C,7,3,-500.0,0.0,0.0,0.011010408401489258,500.0
Acrobot-v1,A2C,7,4,-500.0,0.0,0.0,0.01450800895690918,500.0
Acrobot-v1,A2C,7,5,-500.0,0.0,0.0,0.018007278442382812,500.0
Acrobot-v1,A2C,7,6,-500.0,0.0,0.0,0.021509885787963867,500.0
Acrobot-v1,A2C,7,7,-500.0,0.0,0.0,0.026006221771240234,500.0
Acrobot-v1,A2C,7,8,-500.0,0.0,0.0,0.030504941940307617,500.0
Acrobot-v1,A2C,7,9,-500.0,0.0,0.0,0.03600478172302246,500.0
Acrobot-v1,A2C,7,10,-500.0,0.0,0.0,0.040010690689086914,500.0
Acrobot-v1,A2C,42,1,-373.0,160.33215522782697,40.0,0.004999876022338867,373.4
Acrobot-v1,A2C,42,2,-500.0,0.0,0.0,0.008496284484863281,500.0
Acrobot-v1,A2C,42,3,-500.0,0.0,0.0,0.013494014739990234,500.0
Acrobot-v1,A2C,42,4,-500.0,0.0,0.0,0.01699066162109375,500.0
Acrobot-v1,A2C,42,5,-500.0,0.0,0.0,0.020497560501098633,500.0
Acrobot-v1,A2C,42,6,-500.0,0.0,0.0,0.02399754524230957,500.0
Acrobot-v1,A2C,42,7,-500.0,0.0,0.0,0.026996850967407227,500.0
Acrobot-v1,A2C,42,8,-500.0,0.0,0.0,0.03050374984741211,500.0
Acrobot-v1,A2C,42,9,-500.0,0.0,0.0,0.034028053283691406,500.0
Acrobot-v1,A2C,42,10,-500.0,0.0,0.0,0.038539886474609375,500.0
Acrobot-v1,A2C,1337,1,-500.0,0.0,0.0,0.00450897216796875,500.0
Acrobot-v1,A2C,1337,2,-500.0,0.0,0.0,0.00800943374633789,500.0
Acrobot-v1,A2C,1337,3,-500.0,0.0,0.0,0.012517929077148438,500.0
Acrobot-v1,A2C,1337,4,-500.0,0.0,0.0,0.016018390655517578,500.0
Acrobot-v1,A2C,1337,5,-500.0,0.0,0.0,0.021030426025390625,500.0
Acrobot-v1,A2C,1337,6,-500.0,0.0,0.0,0.024529457092285156,500.0
Acrobot-v1,A2C,1337,7,-500.0,0.0,0.0,0.028026580810546875,500.0
Acrobot-v1,A2C,1337,8,-500.0,0.0,0.0,0.031528472900390625,500.0
Acrobot-v1,A2C,1337,9,-500.0,0.0,0.0,0.03552389144897461,500.0
Acrobot-v1,A2C,1337,10,-500.0,0.0,0.0,0.03902173042297363,500.0
Acrobot-v1,A2C,12345,1,-500.0,0.0,0.0,0.00450444221496582,500.0
Acrobot-v1,A2C,12345,2,-500.0,0.0,0.0,0.008000612258911133,500.0
Acrobot-v1,A2C,12345,3,-500.0,0.0,0.0,0.011502742767333984,500.0
Acrobot-v1,A2C,12345,4,-500.0,0.0,0.0,0.015010356903076172,500.0
Acrobot-v1,A2C,12345,5,-500.0,0.0,0.0,0.0190126895904541,500.0
Acrobot-v1,A2C,12345,6,-500.0,0.0,0.0,0.02302861213684082,500.0
Acrobot-v1,A2C,12345,7,-500.0,0.0,0.0,0.026536226272583008,500.0
Acrobot-v1,A2C,12345,8,-500.0,0.0,0.0,0.030542373657226562,500.0
Acrobot-v1,A2C,12345,9,-500.0,0.0,0.0,0.03404569625854492,500.0
Acrobot-v1,A2C,12345,10,-500.0,0.0,0.0,0.03804159164428711,500.0
Acrobot-v1,A2C,666,1,-500.0,0.0,0.0,0.004500389099121094,500.0
Acrobot-v1,A2C,666,2,-500.0,0.0,0.0,0.008510351181030273,500.0
Acrobot-v1,A2C,666,3,-500.0,0.0,0.0,0.012009859085083008,500.0
Acrobot-v1,A2C,666,4,-500.0,0.0,0.0,0.016008853912353516,500.0
Acrobot-v1,A2C,666,5,-500.0,0.0,0.0,0.01950979232788086,500.0
Acrobot-v1,A2C,666,6,-500.0,0.0,0.0,0.023510456085205078,500.0
Acrobot-v1,A2C,666,7,-500.0,0.0,0.0,0.02701115608215332,500.0
Acrobot-v1,A2C,666,8,-500.0,0.0,0.0,0.031025409698486328,500.0
Acrobot-v1,A2C,666,9,-500.0,0.0,0.0,0.03452944755554199,500.0
Acrobot-v1,A2C,666,10,-500.0,0.0,0.0,0.03903055191040039,500.0
Acrobot-v1,PPO,7,1,-500.0,0.0,0.0,1.0182170867919922,500.0
Acrobot-v1,PPO,7,2,-95.4,12.97073629367277,100.0,2.0280380249023438,96.4
Acrobot-v1,PPO,7,3,-94.6,4.454211490264017,100.0,3.027682304382324,95.6
